date,score,model_id,rank,date_dt,days
2023-08-20,0.411,Qwen-VL-Chat,1,2023-08-20,0
2023-11-06,0.599,gpt-4-1106-vision-preview,1,2023-11-06,78
2024-01-18,0.513,Qwen-VL-Max,2,2024-01-18,151
2024-01-22,0.662,VideoLLAMA3-7B,1,2024-01-22,155
2024-04-12,0.641,LiveCC-7B-Instruct,2,2024-04-12,236
2024-05-23,0.703,gemini-1.5-flash-001,1,2024-05-23,277
2024-05-24,0.75,gemini-1.5-pro-001,1,2024-05-24,278
2024-08-06,0.719,gpt-4o-2024-08-06,2,2024-08-06,352
2024-08-29,0.712,Qwen2-VL-72B-Instruct,3,2024-08-29,375
2024-09-19,0.735,Qwen2.5-VL-72B-Instruct,2,2024-09-19,396
2024-12-06,0.721,InternVL2_5-78B,3,2024-12-06,474
